/uploads              (Status: 301) [Size: 344] [--> http://192.168.241.169/uploads/]
/assets               (Status: 301) [Size: 343] [--> http://192.168.241.169/assets/]
/css                  (Status: 301) [Size: 340] [--> http://192.168.241.169/css/]
/js                   (Status: 301) [Size: 339] [--> http://192.168.241.169/js/]
/examples             (Status: 503) [Size: 404]
/licenses             (Status: 403) [Size: 423]
/%20                  (Status: 403) [Size: 304]
/Assets               (Status: 301) [Size: 343] [--> http://192.168.241.169/Assets/]
/*checkout*           (Status: 403) [Size: 304]
/CSS                  (Status: 301) [Size: 340] [--> http://192.168.241.169/CSS/]
/JS                   (Status: 301) [Size: 339] [--> http://192.168.241.169/JS/]
/phpmyadmin           (Status: 403) [Size: 423]
/Uploads              (Status: 301) [Size: 344] [--> http://192.168.241.169/Uploads/]
/webalizer            (Status: 403) [Size: 423]
/*docroot*            (Status: 403) [Size: 304]
/*                    (Status: 403) [Size: 304]
/con                  (Status: 403) [Size: 304]
/http%3A              (Status: 403) [Size: 304]
/**http%3a            (Status: 403) [Size: 304]
/*http%3A             (Status: 403) [Size: 304]
/aux                  (Status: 403) [Size: 304]
/**http%3A            (Status: 403) [Size: 304]
/%C0                  (Status: 403) [Size: 304]
