|21|ftp|FileZilla ftpd|
|80|http|Apache httpd 2.4.16 (OpenSSL/1.0.1p PHP/5.6.12)|
|443|ssl/http|Apache httpd 2.4.16 (OpenSSL/1.0.1p PHP/5.6.12)|
|3306|mysql|MySQL (unauthorized)|
|6660|irc|InspIRCd|
|6661|irc|InspIRCd|
|6662|irc|InspIRCd|
|6663|irc|InspIRCd|
|6664|irc|InspIRCd|
|6665|irc|InspIRCd|
|6666|irc|InspIRCd|
|6667|irc|InspIRCd|
|6668|irc|InspIRCd|
|6669|irc|InspIRCd|
|6670|irc|InspIRCd|
|6671|irc|InspIRCd|
|6672|irc|InspIRCd|
|6673|irc|InspIRCd|
|6674|irc|InspIRCd|
|6675|irc|InspIRCd|
|6676|irc|InspIRCd|
|6677|irc|InspIRCd|
|6678|irc|InspIRCd|
|6679|irc|InspIRCd|
|6680|irc|InspIRCd|
|6681|irc|InspIRCd|
|6682|irc|InspIRCd|
|6683|irc|InspIRCd|
|6684|irc|InspIRCd|
|6685|irc|InspIRCd|
|6686|irc|InspIRCd|
|6687|irc|InspIRCd|
|6688|irc|InspIRCd|
|6689|irc|InspIRCd|
|6690|irc|InspIRCd|
|6691|irc|InspIRCd|
|6692|irc|InspIRCd|
|6693|irc|InspIRCd|
|6694|irc|InspIRCd|
|6695|irc|InspIRCd|
|6696|irc|InspIRCd|
|6697|irc|InspIRCd|
|6698|irc|InspIRCd|
|6699|irc|InspIRCd|
|6700|irc|InspIRCd|
|6701|irc|InspIRCd|
|6702|irc|InspIRCd|
|6703|irc|InspIRCd|
|6704|irc|InspIRCd|
|6705|irc|InspIRCd|
|6706|irc|InspIRCd|
|6707|irc|InspIRCd|
|6708|irc|InspIRCd|
|6709|irc|InspIRCd|
|6710|irc|InspIRCd|
|6711|irc|InspIRCd|
|6712|irc|InspIRCd|
|6713|irc|InspIRCd|
|6714|irc|InspIRCd|
|6715|irc|InspIRCd|
|6716|irc|InspIRCd|
|6717|irc|InspIRCd|
|6718|irc|InspIRCd|
|6719|irc|InspIRCd|
|6720|irc|InspIRCd|
|6721|irc|InspIRCd|
|6722|irc|InspIRCd|
|6723|irc|InspIRCd|
|6724|irc|InspIRCd|
|6725|irc|InspIRCd|
|6726|irc|InspIRCd|
|6727|irc|InspIRCd|
|6728|irc|InspIRCd|
|6729|irc|InspIRCd|
|6730|irc|InspIRCd|
|6731|irc|InspIRCd|
|6732|irc|InspIRCd|
|6733|irc|InspIRCd|
|6734|irc|InspIRCd|
|6735|irc|InspIRCd|
|6736|irc|InspIRCd|
|6737|irc|InspIRCd|
|6738|irc|InspIRCd|
|6739|irc|InspIRCd|
|6740|irc|InspIRCd|
|6741|irc|InspIRCd|
|6742|irc|InspIRCd|
|6743|irc|InspIRCd|
|6744|irc|InspIRCd|
|6745|irc|InspIRCd|
|6746|irc|InspIRCd|
|6747|irc|InspIRCd|
|6748|irc|InspIRCd|
|6749|irc|InspIRCd|
|6750|irc|InspIRCd|
|6751|irc|InspIRCd|
|6752|irc|InspIRCd|
|6753|irc|InspIRCd|
|6754|irc|InspIRCd|
|6755|irc|InspIRCd|
|6756|irc|InspIRCd|
|6757|irc|InspIRCd|
|6758|irc|InspIRCd|
|6759|irc|InspIRCd|
|6760|irc|InspIRCd|
|6761|irc|InspIRCd|
|6762|irc|InspIRCd|
|6763|irc|InspIRCd|
|6764|irc|InspIRCd|
|6765|irc|InspIRCd|
|6766|irc|InspIRCd|
|6767|irc|InspIRCd|
|6768|irc|InspIRCd|
|6769|irc|InspIRCd|
|6770|irc|InspIRCd|
|6771|irc|InspIRCd|
|6772|irc|InspIRCd|
|6773|irc|InspIRCd|
|6774|irc|InspIRCd|
